"COL0","COL1"
"59150357",31040.00
"59150358",50560.00
"59150359",28992.00
"59150360",32000.00
"59150361",30848.00
"59150362",32819.00
"59150363",38528.00
"59150364",34944.00
"59150365",40960.00
"59150366",33920.00
"59150367",42163.00
"59150368",29472.00
"59150369",26176.00
"59150370",32525.00
"59150371",29824.00
"59150372",28768.00
"59150373",34368.00
"59150375",30016.00
"59150376",32064.00
"59150377",34432.00
"59150378",43360.00
"59150379",35712.00
"59150380",30336.00
"59150381",29120.00
"59150382",30528.00
"59150383",32576.00
"59150384",33216.00
"59150385",26368.00
"59150386",24608.00
"59150387",26688.00
"59150388",24512.00
"59150389",27488.00
"59150390",27776.00
"59150391",18272.00
"59150392",22592.00
"59150393",23744.00
"59150394",22048.00
"59150395",23680.00
"59150396",17835.00
"59150397",20032.00
"59150398",23573.00
"59150399",24800.00
"59150400",25045.00
"59150401",26848.00
"59150402",26976.00
"59150403",28224.00
"59150404",25920.00
"59150405",23648.00
"59150406",26496.00
"59150407",23893.00
"59150408",23776.00
"59150409",23296.00
"59150410",23232.00
"59150412",27840.00
"59150414",25600.00
"59150415",24640.00
"59150416",29440.00
"59150417",30144.00
"59150419",34330.00
"59150420",23744.00
"59150421",22891.00
"59150422",42539.00
"59150423",24235.00
"59150424",29280.00
"59150425",27328.00
"59150426",27072.00
"59150427",29824.00
"59150428",22208.00
"59150429",26592.00
"59150430",28448.00
"59150431",27488.00
"59150432",25856.00
"59150433",26720.00
"59150434",26304.00
"59150435",22336.00
"59150436",24128.00
"59150437",28096.00
"59150438",22096.00
"59150439",23680.00
"59150440",22752.00
"59150441",24224.00
"59150442",22496.00
"59150443",27840.00
"59150444",23104.00
"59150445",23168.00
"59150446",25792.00
"59150447",24875.00
"59150448",21696.00
"59150449",25024.00
"59150450",27072.00
"59150451",21248.00
"59150452",28864.00
"59150453",24768.00
"59150454",25568.00
"59150455",23424.00
"59150457",26048.00
"59150459",28736.00
"59150460",26304.00
"59150461",23936.00
"59150462",24224.00
"59150463",24768.00
"59150465",26560.00
"59150466",23296.00
"59150468",21632.00
"59150469",20832.00
"59150470",25280.00
"59150471",23616.00
"59150472",24768.00
"59150473",24128.00
"59150474",23392.00
"59150475",25024.00
"59150476",27392.00
"59150477",23872.00
"59150478",22635.00
"59150479",27776.00
"59150480",25200.00
"59150481",26432.00
"59150482",23488.00
"59150483",24256.00
"59150484",26283.00
"59150485",27232.00
"59150486",35840.00
"59150487",25216.00
"59150488",21952.00
"59150489",22336.00
"59150490",29632.00
"59150491",23904.00
"59150492",26016.00
"59150493",27840.00
"59150494",30080.00
"59150495",35541.00
"59150496",24224.00
"59150497",28416.00
"59150498",29632.00
"59150499",30656.00
"59150500",30272.00
"59150503",25216.00
"59150504",22528.00
"59150505",27584.00
"59150506",29120.00
"59150507",36352.00
"59150508",35200.00
"59150509",45248.00
"59150510",29632.00
"59150511",34581.00
"59150512",33451.00
"59150513",27840.00
"59150514",21184.00
"59150515",28288.00
"59150516",22656.00
"59150517",23424.00
"59150518",31808.00
"59150519",30016.00
"59150520",25792.00
"59150521",23296.00
"59150522",29856.00
"59150523",33664.00
"59150524",26112.00
"59150525",23072.00
"59150526",24384.00
"59150527",22251.00
"59150528",29888.00
"59150529",33493.00
"59150530",31885.00
"59150531",31424.00
"59150532",26400.00
"59150533",29760.00
"59150534",33195.00
"59150535",37056.00
"59150536",26400.00
"59150537",35520.00
"59150538",
"59150539",28288.00
"59150540",32896.00
"59150541",27379.00
"59150542",29952.00
"59150543",34432.00
"59150544",24512.00
"59150545",26816.00
"59150546",30165.00
"59150547",27456.00
"59150548",40512.00
"59150549",22496.00
"59150550",27456.00
"59150551",35328.00
"59150552",35328.00
"59150553",35200.00
"59150554",35392.00
"59150555",31360.00
"59150556",27040.00
"59150557",26912.00
"59150558",33408.00
"59150559",37760.00
"59150560",36864.00
"59150561",49024.00
"59150562",34304.00
"59150563",30528.00
"59150564",32192.00
"59150565",35200.00
"59150566",37888.00
"59150567",33216.00
"59150568",29056.00
"59150569",30912.00
"59150570",29632.00
"59150571",47744.00
"59150572",41088.00
"59150573",21696.00
"59150575",27648.00
"59150577",49216.00
"59150578",34389.00
"59150579",29952.00
"59150580",21696.00
"59150581",28096.00
"59150582",25792.00
"59150583",43136.00
"59150584",48864.00
"59150585",40960.00
"59150586",36864.00
"59150587",40704.00
"59150588",33408.00
"59150589",34560.00
"59150590",33510.00
"59150591",45120.00
"59150592",39040.00
"59150593",37205.00
"59150594",43648.00
"59150595",34645.00
"59150596",36864.00
"59150597",38016.00
"59150598",39552.00
"59150599",40235.00
"59150600",35328.00
"59150601",38357.00
"59150602",39296.00
"59150603",59904.00
"59150604",37939.00
"59150605",41344.00
"59150606",45355.00
"59150607",45781.00
"59150608",49408.00
"59150609",41088.00
"59150610",40277.00
"59150611",33216.00
"59150612",41856.00
"59150613",46208.00
"59150614",41792.00
"59150615",44800.00
"59150616",38464.00
"59150617",43040.00
"59150618",40032.00
"59150619",37120.00
"59150620",32064.00
"59150621",40576.00
"59150622",51168.00
"59150623",48128.00
"59150624",40548.00
"59150625",44416.00
"59150626",46624.00
"59150627",51755.00
"59150628",46656.00
"59150629",47232.00
"59150630",47872.00
"59150631",46165.00
"59150632",52352.00
"59150633",45888.00
"59150634",41472.00
"59150635",45568.00
"59150636",46677.00
"59150637",46549.00
"59150638",43622.00
"59150639",52352.00
"59150640",39552.00
"59150641",43051.00
"59150642",39872.00
"59150643",47445.00
"59150644",44224.00
"59150645",41856.00
"59150646",40149.00
"59150647",55680.00
"59150648",
"59150649",51520.00
"59150650",52224.00
"59150651",48640.00
"59150652",47808.00
"59150653",40320.00
"59150654",49024.00
"59150655",42496.00
"59150656",43648.00
"59150657",54400.00
"59150658",41984.00
"59150659",37760.00
"59150660",44928.00
"59150661",40704.00
"59150662",46208.00
"59150663",44160.00
"59150664",47616.00
"59150665",52224.00
"59150666",38272.00
"59150667",35072.00
"59150668",51797.00
"59150669",34816.00
"59150670",36821.00
"59150671",36992.00
"59150672",34688.00
"59150673",37803.00
"59150674",54144.00
"59150675",38912.00
"59150676",46528.00
"59150677",51200.00
"59150678",42624.00
"59150679",35712.00
"59150680",56704.00
"59150681",47424.00
"59150682",38368.00
"59150683",45280.00
"59150684",44800.00
"59150685",33600.00
"59150686",44501.00
"59150687",36224.00
"59150688",38016.00
