PM25DAL12_PC,PM25DAL12_01,POSTALCODE_12,PROV_12
V2V2E1,5.2,V2V2E1,BC
V2V2E2,5.1,V2V2E2,BC
V2V2E3,5.1,V2V2E3,BC
V2V2E4,5.1,V2V2E4,BC
V2V2E5,5.1,V2V2E5,BC
V2V2E6,5.1,V2V2E6,BC
V2V2E7,5.1,V2V2E7,BC
V2V2E8,5.1,V2V2E8,BC
V2V2E9,5.1,V2V2E9,BC
V2V2G1,5.1,V2V2G1,BC
V2V2G2,5.1,V2V2G2,BC
V2V2G3,5.1,V2V2G3,BC
V2V2G4,5.1,V2V2G4,BC
V2V2G5,5.2,V2V2G5,BC
V2V2G6,5.2,V2V2G6,BC
V2V2G7,5.2,V2V2G7,BC
V2V2G8,5.2,V2V2G8,BC
V2V2G9,5.2,V2V2G9,BC
V2V2H1,5.2,V2V2H1,BC
V2V2H2,5.1,V2V2H2,BC
V2V2H3,5.1,V2V2H3,BC
V2V2H4,5.1,V2V2H4,BC
V2V2H5,5.1,V2V2H5,BC
V2V2H6,5.1,V2V2H6,BC
V2V2H7,5.1,V2V2H7,BC
V2V2H8,5.2,V2V2H8,BC
V2V2H9,5.2,V2V2H9,BC
V2V2J1,5.2,V2V2J1,BC
V2V2J2,5.1,V2V2J2,BC
V2V2J3,5.1,V2V2J3,BC
V2V2J4,5.1,V2V2J4,BC
V2V2J5,5.1,V2V2J5,BC
V2V2J7,5.1,V2V2J7,BC
V2V2J9,5.2,V2V2J9,BC
V2V2K1,5.2,V2V2K1,BC
V2V2K2,5.2,V2V2K2,BC
V2V2K3,5.2,V2V2K3,BC
V2V2K4,5.2,V2V2K4,BC
V2V2K5,5.1,V2V2K5,BC
V2V2K6,5.1,V2V2K6,BC
V2V2K7,5.1,V2V2K7,BC
V2V2K8,5.3,V2V2K8,BC
V2V2K9,5.2,V2V2K9,BC
V2V2L2,5.2,V2V2L2,BC
V2V2L3,5.2,V2V2L3,BC
V2V2L4,5.2,V2V2L4,BC
V2V2L5,5.3,V2V2L5,BC
V2V2L6,5.2,V2V2L6,BC
V2V2L7,5.3,V2V2L7,BC
V2V2L8,5.2,V2V2L8,BC
V2V2L9,5.2,V2V2L9,BC
V2V2M1,5.2,V2V2M1,BC
V2V2M2,5.2,V2V2M2,BC
V2V2M3,5.2,V2V2M3,BC
V2V2M4,5.1,V2V2M4,BC
V2V2M5,5.2,V2V2M5,BC
V2V2M6,5.2,V2V2M6,BC
V2V2M7,5.2,V2V2M7,BC
V2V2M8,5.2,V2V2M8,BC
V2V2M9,5.2,V2V2M9,BC
V2V2N1,5.2,V2V2N1,BC
V2V2N2,5.3,V2V2N2,BC
V2V2N3,5.3,V2V2N3,BC
V2V2N4,5.3,V2V2N4,BC
V2V2N5,5.3,V2V2N5,BC
V2V2N6,5.4,V2V2N6,BC
V2V2N7,5.4,V2V2N7,BC
V2V2N8,5.3,V2V2N8,BC
V2V2N9,5.3,V2V2N9,BC
V2V2P1,5.2,V2V2P1,BC
V2V2P2,5.2,V2V2P2,BC
V2V2P3,5.2,V2V2P3,BC
V2V2P4,5.2,V2V2P4,BC
V2V2P5,5.2,V2V2P5,BC
V2V2P6,4.9,V2V2P6,BC
V2V2P7,4.9,V2V2P7,BC
V2V2P8,5.2,V2V2P8,BC
V2V2P9,5.2,V2V2P9,BC
V2V2R1,5.2,V2V2R1,BC
V2V2R2,5.2,V2V2R2,BC
V2V2R3,4.9,V2V2R3,BC
V2V2R4,4.9,V2V2R4,BC
V2V2R5,5.2,V2V2R5,BC
V2V2R6,5.2,V2V2R6,BC
V2V2R8,5.2,V2V2R8,BC
V2V2R9,5.2,V2V2R9,BC
V2V2S1,5.3,V2V2S1,BC
V2V2S2,5.3,V2V2S2,BC
V2V2S3,5.2,V2V2S3,BC
V2V2S4,5.2,V2V2S4,BC
V2V2S5,5.3,V2V2S5,BC
V2V2S6,5.3,V2V2S6,BC
V2V2S7,5.2,V2V2S7,BC
V2V2S8,5.2,V2V2S8,BC
V2V2S9,5.2,V2V2S9,BC
V2V2T1,5.2,V2V2T1,BC
V2V2T2,4.9,V2V2T2,BC
V2V2T3,5.2,V2V2T3,BC
V2V2T6,5.4,V2V2T6,BC
V2V2T7,5.3,V2V2T7,BC
V2V2T8,5.3,V2V2T8,BC
V2V2T9,5.2,V2V2T9,BC
V2V2V1,5.2,V2V2V1,BC
V2V2V2,5.2,V2V2V2,BC
V2V2V3,5.2,V2V2V3,BC
V2V2V4,4.9,V2V2V4,BC
V2V2V5,4.9,V2V2V5,BC
V2V2V6,5.1,V2V2V6,BC
V2V2V7,5.1,V2V2V7,BC
V2V2V9,4.9,V2V2V9,BC
V2V2W1,5,V2V2W1,BC
V2V2W2,5,V2V2W2,BC
V2V2W3,5,V2V2W3,BC
V2V2W4,5,V2V2W4,BC
V2V2W8,5,V2V2W8,BC
V2V2W9,5,V2V2W9,BC
V2V2X1,5,V2V2X1,BC
V2V2X2,5,V2V2X2,BC
V2V2X5,5,V2V2X5,BC
V2V2X6,5,V2V2X6,BC
V2V2X7,5,V2V2X7,BC
V2V2Y1,5,V2V2Y1,BC
V2V2Y2,5,V2V2Y2,BC
V2V2Y4,5,V2V2Y4,BC
V2V2Y5,5,V2V2Y5,BC
V2V2Y6,5,V2V2Y6,BC
V2V2Y7,5,V2V2Y7,BC
V2V2Y8,5,V2V2Y8,BC
V2V2Y9,5,V2V2Y9,BC
V2V2Z2,5.2,V2V2Z2,BC
V2V2Z3,5.2,V2V2Z3,BC
V2V2Z4,5.2,V2V2Z4,BC
V2V2Z5,5.2,V2V2Z5,BC
V2V2Z6,5.2,V2V2Z6,BC
V2V2Z7,5.2,V2V2Z7,BC
V2V2Z8,5.2,V2V2Z8,BC
V2V2Z9,5.2,V2V2Z9,BC
V2V3A1,5.2,V2V3A1,BC
V2V3A2,5.2,V2V3A2,BC
V2V3A3,5.2,V2V3A3,BC
V2V3A4,5.2,V2V3A4,BC
V2V3A5,5.2,V2V3A5,BC
V2V3A6,5.2,V2V3A6,BC
V2V3A7,5.2,V2V3A7,BC
V2V3A8,5.2,V2V3A8,BC
V2V3A9,5.2,V2V3A9,BC
V2V3B3,4.9,V2V3B3,BC
V2V3B4,4.9,V2V3B4,BC
V2V3B5,5.2,V2V3B5,BC
V2V3B6,5.2,V2V3B6,BC
V2V3B7,5.2,V2V3B7,BC
V2V3B8,5.2,V2V3B8,BC
V2V3B9,5.2,V2V3B9,BC
V2V3C1,5.2,V2V3C1,BC
V2V3C2,5.2,V2V3C2,BC
V2V3C3,5.2,V2V3C3,BC
V2V3C4,5.2,V2V3C4,BC
V2V3C5,5.2,V2V3C5,BC
V2V3C6,5.2,V2V3C6,BC
V2V3C7,5.3,V2V3C7,BC
V2V3C8,5.3,V2V3C8,BC
V2V3C9,5.2,V2V3C9,BC
V2V3E1,5.2,V2V3E1,BC
V2V3E2,5.2,V2V3E2,BC
V2V3E3,5.2,V2V3E3,BC
V2V3E4,5.2,V2V3E4,BC
V2V3E5,5.2,V2V3E5,BC
V2V3E6,5,V2V3E6,BC
V2V3E7,5.2,V2V3E7,BC
V2V3E8,5.2,V2V3E8,BC
V2V3E9,5.3,V2V3E9,BC
V2V3G1,5.2,V2V3G1,BC
V2V3G2,5.3,V2V3G2,BC
V2V3G3,5.2,V2V3G3,BC
V2V3G4,5.3,V2V3G4,BC
V2V3G5,5.3,V2V3G5,BC
V2V3G6,5.3,V2V3G6,BC
V2V3G7,5.3,V2V3G7,BC
V2V3G8,5.3,V2V3G8,BC
V2V3G9,5.3,V2V3G9,BC
V2V3H1,5.4,V2V3H1,BC
V2V3H2,5.4,V2V3H2,BC
V2V3H3,5.4,V2V3H3,BC
V2V3H5,5.3,V2V3H5,BC
V2V3H6,4.9,V2V3H6,BC
V2V3H7,5.3,V2V3H7,BC
V2V3H8,5.3,V2V3H8,BC
V2V3H9,5.3,V2V3H9,BC
V2V3J1,5.3,V2V3J1,BC
V2V3J2,5.3,V2V3J2,BC
V2V3J3,5.3,V2V3J3,BC
V2V3J4,5.3,V2V3J4,BC
V2V3J5,5.3,V2V3J5,BC
V2V3J6,5.4,V2V3J6,BC
V2V3J7,5.4,V2V3J7,BC
V2V3J9,5,V2V3J9,BC
V2V3K1,5.3,V2V3K1,BC
V2V3K2,5.3,V2V3K2,BC
V2V3K3,5.3,V2V3K3,BC
V2V3K4,5.2,V2V3K4,BC
V2V3K5,5.2,V2V3K5,BC
V2V3K6,5.3,V2V3K6,BC
V2V3K7,5.3,V2V3K7,BC
V2V3K8,5.3,V2V3K8,BC
V2V3K9,5.3,V2V3K9,BC
V2V3L1,5.3,V2V3L1,BC
V2V3L2,5.3,V2V3L2,BC
V2V3L3,5.3,V2V3L3,BC
V2V3L4,5.2,V2V3L4,BC
V2V3L5,5.2,V2V3L5,BC
V2V3L6,5.2,V2V3L6,BC
V2V3L7,5.2,V2V3L7,BC
V2V3L8,5.2,V2V3L8,BC
V2V3L9,5.2,V2V3L9,BC
V2V3M1,5,V2V3M1,BC
V2V3M2,5,V2V3M2,BC
V2V3M3,5.2,V2V3M3,BC
V2V3M4,5.2,V2V3M4,BC
V2V3M5,5.2,V2V3M5,BC
V2V3M6,5.2,V2V3M6,BC
V2V3M7,5.2,V2V3M7,BC
V2V3M8,5.2,V2V3M8,BC
V2V3M9,5.3,V2V3M9,BC
V2V3N1,5.3,V2V3N1,BC
V2V3N2,5.3,V2V3N2,BC
V2V3N3,5.3,V2V3N3,BC
V2V3N4,5.3,V2V3N4,BC
V2V3N5,5.3,V2V3N5,BC
V2V3N6,5.3,V2V3N6,BC
V2V3N7,5.3,V2V3N7,BC
V2V3N8,5.2,V2V3N8,BC
V2V3N9,5,V2V3N9,BC
V2V3P1,5.2,V2V3P1,BC
V2V3P2,5.2,V2V3P2,BC
V2V3P3,5.2,V2V3P3,BC
V2V3P4,5.2,V2V3P4,BC
V2V3P5,5.2,V2V3P5,BC
V2V3P6,5.2,V2V3P6,BC
V2V3P7,5.2,V2V3P7,BC
V2V3P8,5.2,V2V3P8,BC
V2V3P9,5.2,V2V3P9,BC
V2V3R1,5.2,V2V3R1,BC
V2V3R2,5.2,V2V3R2,BC
V2V3R4,5.2,V2V3R4,BC
V2V3R5,5.2,V2V3R5,BC
V2V3R6,5.2,V2V3R6,BC
V2V3R7,5.2,V2V3R7,BC
V2V3R9,5.2,V2V3R9,BC
V2V3S1,5.2,V2V3S1,BC
V2V3S2,5.2,V2V3S2,BC
V2V3S3,5.2,V2V3S3,BC
V2V3S4,5.2,V2V3S4,BC
V2V3S5,5.2,V2V3S5,BC
V2V3S6,5.2,V2V3S6,BC
V2V3S7,5.2,V2V3S7,BC
V2V3S8,5.2,V2V3S8,BC
V2V3S9,5.2,V2V3S9,BC
V2V3T1,5.2,V2V3T1,BC
V2V3T2,5.2,V2V3T2,BC
V2V3T3,5.2,V2V3T3,BC
V2V3T4,5.2,V2V3T4,BC
V2V3T5,5.2,V2V3T5,BC
V2V3T6,5.2,V2V3T6,BC
V2V3T7,5.2,V2V3T7,BC
V2V3T8,5.2,V2V3T8,BC
V2V3T9,5.2,V2V3T9,BC
V2V3V1,5.2,V2V3V1,BC
V2V3V2,5.2,V2V3V2,BC
V2V3V3,5.2,V2V3V3,BC
V2V3V4,5,V2V3V4,BC
V2V3V5,5,V2V3V5,BC
V2V3V6,5.2,V2V3V6,BC
V2V3V7,5.2,V2V3V7,BC
V2V3V8,5.2,V2V3V8,BC
V2V3V9,5.2,V2V3V9,BC
V2V3W1,5.2,V2V3W1,BC
V2V3W2,5.2,V2V3W2,BC
V2V3W3,5.2,V2V3W3,BC
V2V3W4,5,V2V3W4,BC
V2V3W5,5,V2V3W5,BC
V2V3W6,5.2,V2V3W6,BC
V2V3W7,5.2,V2V3W7,BC
V2V3W8,4.9,V2V3W8,BC
V2V3W9,5.2,V2V3W9,BC
V2V3X1,5.1,V2V3X1,BC
V2V3X3,5.1,V2V3X3,BC
V2V3X4,5.1,V2V3X4,BC
V2V3X5,5.1,V2V3X5,BC
V2V3X6,5.1,V2V3X6,BC
V2V3X8,5,V2V3X8,BC
V2V3X9,5,V2V3X9,BC
V2V3Y1,5,V2V3Y1,BC
V2V3Y2,5,V2V3Y2,BC
V2V3Y3,5,V2V3Y3,BC
V2V3Y4,5,V2V3Y4,BC
V2V3Y5,5,V2V3Y5,BC
V2V3Y6,5.1,V2V3Y6,BC
V2V3Y7,5.1,V2V3Y7,BC
V2V3Y8,5.1,V2V3Y8,BC
V2V3Y9,5.1,V2V3Y9,BC
V2V3Z1,5.1,V2V3Z1,BC
V2V3Z2,5.1,V2V3Z2,BC
V2V3Z3,4.9,V2V3Z3,BC
V2V3Z4,4.9,V2V3Z4,BC
V2V3Z5,4.9,V2V3Z5,BC
V2V3Z6,4.9,V2V3Z6,BC
V2V3Z8,4.9,V2V3Z8,BC
V2V4A2,5,V2V4A2,BC
V2V4A3,5.1,V2V4A3,BC
V2V4A4,5.1,V2V4A4,BC
V2V4A5,5.1,V2V4A5,BC
V2V4A6,5.1,V2V4A6,BC
V2V4A7,5.1,V2V4A7,BC
V2V4A8,5.1,V2V4A8,BC
V2V4A9,5.1,V2V4A9,BC
V2V4B1,5.1,V2V4B1,BC
V2V4B2,5.1,V2V4B2,BC
V2V4B3,5.1,V2V4B3,BC
V2V4B4,5.1,V2V4B4,BC
V2V4B5,5.1,V2V4B5,BC
V2V4B6,5.1,V2V4B6,BC
V2V4B7,5.1,V2V4B7,BC
V2V4B8,5.1,V2V4B8,BC
V2V4B9,5.1,V2V4B9,BC
V2V4C1,5.1,V2V4C1,BC
V2V4C2,5.1,V2V4C2,BC
V2V4C3,5.1,V2V4C3,BC
V2V4C4,5,V2V4C4,BC
V2V4C5,5.1,V2V4C5,BC
V2V4C6,5.1,V2V4C6,BC
V2V4C7,5.1,V2V4C7,BC
V2V4C8,5.1,V2V4C8,BC
V2V4C9,5.1,V2V4C9,BC
V2V4E1,5.1,V2V4E1,BC
V2V4E2,5.1,V2V4E2,BC
V2V4E4,5.1,V2V4E4,BC
V2V4E5,5.1,V2V4E5,BC
V2V4E6,5.1,V2V4E6,BC
V2V4E7,5.1,V2V4E7,BC
V2V4E8,5.1,V2V4E8,BC
V2V4E9,5.1,V2V4E9,BC
V2V4G2,5.1,V2V4G2,BC
V2V4G3,5.1,V2V4G3,BC
V2V4G4,5.1,V2V4G4,BC
V2V4G6,5.1,V2V4G6,BC
V2V4G7,5.1,V2V4G7,BC
V2V4G8,5.1,V2V4G8,BC
V2V4G9,5.1,V2V4G9,BC
V2V4H1,5.1,V2V4H1,BC
V2V4H2,5.1,V2V4H2,BC
V2V4H3,5.1,V2V4H3,BC
V2V4H4,5.1,V2V4H4,BC
V2V4H5,5.1,V2V4H5,BC
V2V4H6,5.1,V2V4H6,BC
V2V4H7,5.1,V2V4H7,BC
V2V4H8,5.2,V2V4H8,BC
V2V4J1,5.1,V2V4J1,BC
V2V4J2,5,V2V4J2,BC
V2V4J3,5,V2V4J3,BC
V2V4J4,5,V2V4J4,BC
V2V4J5,5,V2V4J5,BC
V2V4J6,5.2,V2V4J6,BC
V2V4J7,5.2,V2V4J7,BC
V2V4J8,5.2,V2V4J8,BC
V2V4J9,5.2,V2V4J9,BC
V2V4K1,5.2,V2V4K1,BC
V2V4K2,5.2,V2V4K2,BC
V2V4K3,5.2,V2V4K3,BC
V2V4K4,5.2,V2V4K4,BC
V2V4K5,4.9,V2V4K5,BC
V2V4K6,5.3,V2V4K6,BC
V2V4K7,5.2,V2V4K7,BC
V2V4K8,5.1,V2V4K8,BC
V2V4K9,5.2,V2V4K9,BC
V2V4L1,5,V2V4L1,BC
V2V4L2,5,V2V4L2,BC
V2V4L4,5.1,V2V4L4,BC
V2V4L5,5.1,V2V4L5,BC
V2V4L6,5.2,V2V4L6,BC
V2V4L7,5.2,V2V4L7,BC
V2V4L8,5,V2V4L8,BC
V2V4L9,5,V2V4L9,BC
V2V4M1,5,V2V4M1,BC
V2V4M2,5,V2V4M2,BC
V2V4M4,5,V2V4M4,BC
V2V4M5,5,V2V4M5,BC
V2V4M7,4.9,V2V4M7,BC
V2V4M8,5.3,V2V4M8,BC
V2V4M9,5,V2V4M9,BC
V2V4N1,5.3,V2V4N1,BC
V2V4N2,5.3,V2V4N2,BC
V2V4N3,5,V2V4N3,BC
V2V4N4,5,V2V4N4,BC
V2V4N5,5.1,V2V4N5,BC
V2V4N6,5,V2V4N6,BC
V2V4N9,5.2,V2V4N9,BC
V2V4P1,5.2,V2V4P1,BC
V2V4P2,5.2,V2V4P2,BC
V2V4P3,5.3,V2V4P3,BC
V2V4P4,4.9,V2V4P4,BC
V2V4P5,5.4,V2V4P5,BC
V2V4P6,5.3,V2V4P6,BC
V2V4P7,5.3,V2V4P7,BC
V2V4P8,5,V2V4P8,BC
V2V4P9,5,V2V4P9,BC
V2V4R1,5.2,V2V4R1,BC
V2V4R2,5.2,V2V4R2,BC
V2V4R3,5.1,V2V4R3,BC
V2V4R5,5.2,V2V4R5,BC
V2V4R6,5.2,V2V4R6,BC
V2V4R7,4.9,V2V4R7,BC
V2V4R8,4.9,V2V4R8,BC
V2V4R9,4.9,V2V4R9,BC
V2V4S1,4.9,V2V4S1,BC
V2V4S2,4.9,V2V4S2,BC
V2V4S3,4.9,V2V4S3,BC
V2V4S4,5.2,V2V4S4,BC
V2V4S5,5.2,V2V4S5,BC
V2V4S6,5.2,V2V4S6,BC
V2V4S7,5.2,V2V4S7,BC
V2V4S8,5.2,V2V4S8,BC
V2V4S9,5.2,V2V4S9,BC
V2V4T1,5.2,V2V4T1,BC
V2V4T2,5.1,V2V4T2,BC
V2V4T3,5.1,V2V4T3,BC
V2V4T4,5.3,V2V4T4,BC
V2V4T5,5.2,V2V4T5,BC
V2V4T6,5.2,V2V4T6,BC
V2V4T7,5.2,V2V4T7,BC
V2V4T8,5.2,V2V4T8,BC
V2V4T9,5.2,V2V4T9,BC
V2V4V1,5.2,V2V4V1,BC
V2V4V2,5.2,V2V4V2,BC
V2V4V3,5.2,V2V4V3,BC
V2V4V4,5.3,V2V4V4,BC
V2V4V5,5.2,V2V4V5,BC
V2V4V6,4.9,V2V4V6,BC
V2V4V7,5.3,V2V4V7,BC
V2V4V8,5.3,V2V4V8,BC
V2V4V9,5.2,V2V4V9,BC
V2V4W1,5.2,V2V4W1,BC
V2V4W2,4.9,V2V4W2,BC
V2V4W3,5.2,V2V4W3,BC
V2V4W4,5.1,V2V4W4,BC
V2V4W5,5.1,V2V4W5,BC
V2V4W6,5.1,V2V4W6,BC
V2V4W7,4.9,V2V4W7,BC
V2V4W8,5.1,V2V4W8,BC
V2V4W9,5.1,V2V4W9,BC
V2V4X1,4.9,V2V4X1,BC
V2V4X2,5.1,V2V4X2,BC
V2V4X3,5,V2V4X3,BC
V2V4X4,5.2,V2V4X4,BC
V2V4X5,5.1,V2V4X5,BC
V2V4X6,4.9,V2V4X6,BC
V2V4X7,5.3,V2V4X7,BC
V2V4X8,5.3,V2V4X8,BC
V2V4Y1,4.9,V2V4Y1,BC
V2V4Y3,5.2,V2V4Y3,BC
V2V4Y4,4.9,V2V4Y4,BC
V2V4Y5,4.9,V2V4Y5,BC
V2V4Y6,5.1,V2V4Y6,BC
V2V4Y7,5.1,V2V4Y7,BC
V2V4Y8,4.9,V2V4Y8,BC
V2V4Y9,5.3,V2V4Y9,BC
V2V4Z1,5.3,V2V4Z1,BC
V2V4Z2,5.3,V2V4Z2,BC
V2V4Z3,4.9,V2V4Z3,BC
V2V4Z4,4.9,V2V4Z4,BC
V2V4Z5,4.9,V2V4Z5,BC
V2V4Z6,4.9,V2V4Z6,BC
V2V4Z7,4.9,V2V4Z7,BC
V2V5A1,5.4,V2V5A1,BC
V2V5A2,5.2,V2V5A2,BC
V2V5A3,5.2,V2V5A3,BC
V2V5A4,4.9,V2V5A4,BC
V2V5A5,4.9,V2V5A5,BC
V2V5A6,5.2,V2V5A6,BC
V2V5A7,5.2,V2V5A7,BC
V2V5A8,4.9,V2V5A8,BC
V2V5A9,5.3,V2V5A9,BC
V2V5B1,5.3,V2V5B1,BC
V2V5B2,5.3,V2V5B2,BC
V2V5B3,5.2,V2V5B3,BC
V2V5B4,5.2,V2V5B4,BC
V2V5B5,5.3,V2V5B5,BC
V2V5B6,4.9,V2V5B6,BC
V2V5B7,5.2,V2V5B7,BC
V2V5B8,5.3,V2V5B8,BC
V2V5B9,5.1,V2V5B9,BC
V2V5C1,5.3,V2V5C1,BC
V2V5C2,5.3,V2V5C2,BC
V2V5C3,4.9,V2V5C3,BC
V2V5C4,5.3,V2V5C4,BC
V2V5C7,5.4,V2V5C7,BC
V2V5C8,5.4,V2V5C8,BC
V2V5C9,4.9,V2V5C9,BC
V2V5E1,4.9,V2V5E1,BC
V2V5E2,5.2,V2V5E2,BC
V2V5E3,5.2,V2V5E3,BC
V2V5E4,5.2,V2V5E4,BC
V2V5E5,5.4,V2V5E5,BC
V2V5E6,5.4,V2V5E6,BC
V2V5E7,5.4,V2V5E7,BC
V2V5E8,5.4,V2V5E8,BC
V2V5E9,5.1,V2V5E9,BC
V2V5G1,5.2,V2V5G1,BC
V2V5G2,5.2,V2V5G2,BC
V2V5G3,5.4,V2V5G3,BC
V2V5G4,5.4,V2V5G4,BC
V2V5G5,5.4,V2V5G5,BC
V2V5G6,5.3,V2V5G6,BC
V2V5G7,5.3,V2V5G7,BC
V2V5G8,5.3,V2V5G8,BC
V2V5G9,5.1,V2V5G9,BC
V2V5H1,5.2,V2V5H1,BC
V2V5H3,5.4,V2V5H3,BC
V2V5H4,5.3,V2V5H4,BC
V2V5H5,5.3,V2V5H5,BC
V2V5H6,5.3,V2V5H6,BC
V2V5H7,5.3,V2V5H7,BC
V2V5H8,5.4,V2V5H8,BC
V2V5H9,5.3,V2V5H9,BC
V2V5J1,4.8,V2V5J1,BC
V2V5J2,4.8,V2V5J2,BC
V2V5J3,4.8,V2V5J3,BC
V2V5J4,4.8,V2V5J4,BC
V2V5J5,4.9,V2V5J5,BC
V2V5J6,5,V2V5J6,BC
V2V5J7,5.3,V2V5J7,BC
V2V5J8,5.3,V2V5J8,BC
V2V5J9,4.9,V2V5J9,BC
V2V5K1,4.9,V2V5K1,BC
V2V5K2,5.2,V2V5K2,BC
V2V5K3,5.4,V2V5K3,BC
V2V5K4,5.2,V2V5K4,BC
V2V5K5,5.3,V2V5K5,BC
V2V5K6,5.3,V2V5K6,BC
V2V5K7,5.3,V2V5K7,BC
V2V5K8,4.9,V2V5K8,BC
V2V5K9,4.9,V2V5K9,BC
V2V5L1,5.3,V2V5L1,BC
V2V5L2,4.9,V2V5L2,BC
V2V5L3,5.3,V2V5L3,BC
V2V5L4,5.2,V2V5L4,BC
V2V5L5,5.3,V2V5L5,BC
V2V5L6,5.3,V2V5L6,BC
V2V5L7,5.3,V2V5L7,BC
V2V5L8,5.3,V2V5L8,BC
V2V5L9,5.3,V2V5L9,BC
V2V5M1,5.3,V2V5M1,BC
V2V5M3,5.4,V2V5M3,BC
V2V5M4,5.3,V2V5M4,BC
V2V5M6,5,V2V5M6,BC
V2V5M8,5.2,V2V5M8,BC
V2V5M9,5.3,V2V5M9,BC
V2V5N1,5.2,V2V5N1,BC
V2V5N2,5.2,V2V5N2,BC
V2V5N3,5.2,V2V5N3,BC
V2V5N4,5.3,V2V5N4,BC
V2V5N5,5.4,V2V5N5,BC
V2V5N6,5.4,V2V5N6,BC
V2V5N7,5.4,V2V5N7,BC
V2V5N8,5.4,V2V5N8,BC
V2V5N9,5.2,V2V5N9,BC
V2V5P1,5.2,V2V5P1,BC
V2V5P2,5.2,V2V5P2,BC
V2V5P3,5.2,V2V5P3,BC
V2V5P4,5.2,V2V5P4,BC
V2V5P5,4.9,V2V5P5,BC
V2V5P6,4.9,V2V5P6,BC
V2V5P7,5.2,V2V5P7,BC
V2V5P8,5.4,V2V5P8,BC
V2V5P9,5.3,V2V5P9,BC
V2V5R1,5.4,V2V5R1,BC
V2V5R2,5.4,V2V5R2,BC
V2V5R3,5.3,V2V5R3,BC
V2V5R4,5.3,V2V5R4,BC
V2V5R5,5.4,V2V5R5,BC
V2V5R6,4.9,V2V5R6,BC
V2V5R7,5.3,V2V5R7,BC
V2V5R8,5.2,V2V5R8,BC
V2V5R9,4.9,V2V5R9,BC
V2V5S1,5.3,V2V5S1,BC
V2V5S2,5.3,V2V5S2,BC
V2V5S3,5.2,V2V5S3,BC
V2V5S4,5.2,V2V5S4,BC
V2V5S5,4.9,V2V5S5,BC
V2V5S6,5.4,V2V5S6,BC
V2V5S7,5.2,V2V5S7,BC
V2V5S8,5.2,V2V5S8,BC
V2V5S9,5.2,V2V5S9,BC
V2V5T1,5,V2V5T1,BC
V2V5T2,5.3,V2V5T2,BC
V2V5T3,5.4,V2V5T3,BC
V2V5T4,5.3,V2V5T4,BC
V2V5T5,5.4,V2V5T5,BC
V2V5T6,5.1,V2V5T6,BC
V2V5T7,5.1,V2V5T7,BC
V2V5T8,5,V2V5T8,BC
V2V5T9,5.2,V2V5T9,BC
V2V5V1,5.2,V2V5V1,BC
V2V5V2,5.1,V2V5V2,BC
V2V5V3,5.1,V2V5V3,BC
V2V5V4,5.4,V2V5V4,BC
V2V5V5,4.9,V2V5V5,BC
V2V5V6,5.2,V2V5V6,BC
V2V5V7,4.9,V2V5V7,BC
V2V5V8,4.9,V2V5V8,BC
V2V5V9,5.4,V2V5V9,BC
V2V5W1,5.2,V2V5W1,BC
V2V5W2,4.9,V2V5W2,BC
V2V5W3,4.9,V2V5W3,BC
V2V5W4,4.9,V2V5W4,BC
V2V5W5,4.9,V2V5W5,BC
V2V5W6,4.9,V2V5W6,BC
V2V5W7,5.2,V2V5W7,BC
V2V5W8,4.9,V2V5W8,BC
V2V5X1,5.4,V2V5X1,BC
V2V5X2,5.1,V2V5X2,BC
V2V5X3,5.1,V2V5X3,BC
V2V5X5,4.9,V2V5X5,BC
V2V5X6,5.3,V2V5X6,BC
V2V5X7,4.9,V2V5X7,BC
V2V5X8,5.1,V2V5X8,BC
V2V5X9,5,V2V5X9,BC
V2V5Y1,5,V2V5Y1,BC
V2V5Y2,5.2,V2V5Y2,BC
V2V5Y3,5.2,V2V5Y3,BC
V2V5Y4,4.9,V2V5Y4,BC
V2V5Y5,5,V2V5Y5,BC
V2V5Y6,5.2,V2V5Y6,BC
V2V5Y7,5.2,V2V5Y7,BC
V2V5Y8,5.2,V2V5Y8,BC
V2V5Y9,5.2,V2V5Y9,BC
V2V5Z1,4.9,V2V5Z1,BC
V2V5Z2,4.9,V2V5Z2,BC
V2V5Z3,4.9,V2V5Z3,BC
V2V5Z4,4.9,V2V5Z4,BC
V2V5Z5,4.9,V2V5Z5,BC
V2V5Z6,4.9,V2V5Z6,BC
V2V5Z7,4.9,V2V5Z7,BC
V2V5Z8,4.9,V2V5Z8,BC
V2V5Z9,5.2,V2V5Z9,BC
V2V6A1,5.4,V2V6A1,BC
V2V6A2,5.2,V2V6A2,BC
V2V6A3,4.9,V2V6A3,BC
V2V6A4,5,V2V6A4,BC
V2V6A5,5.1,V2V6A5,BC
V2V6A6,5.4,V2V6A6,BC
V2V6A7,5,V2V6A7,BC
V2V6A8,4.9,V2V6A8,BC
V2V6A9,5.2,V2V6A9,BC
V2V6B1,5,V2V6B1,BC
V2V6B2,5.1,V2V6B2,BC
V2V6B3,4.9,V2V6B3,BC
V2V6B4,5,V2V6B4,BC
V2V6B5,5.2,V2V6B5,BC
V2V6B6,5.3,V2V6B6,BC
V2V6B7,5.3,V2V6B7,BC
V2V6B8,5.3,V2V6B8,BC
V2V6B9,5.4,V2V6B9,BC
V2V6C1,5.2,V2V6C1,BC
V2V6C2,5.3,V2V6C2,BC
V2V6C3,5,V2V6C3,BC
